haematuria	3.19463
and	2.9993418636363605
abdominal	1.21232
aortic	2.120406363636364
aneurysm	1.0345000000000002
.	3.1716528266666484
left	1.6076700000000002
loin	1.07172
pain	1.7903166666666666
in	3.0103367213114787
a	3.166946756756763
patient	3.194630000000001
with	3.1547806000000005
associated	3.194630000000001
the	3.01960557291665
radiological	3.19463
finding	3.19463
of	3.0157381120943807
poorly	2.4195266666666666
or	2.85233142857143
non	2.5591699999999995
-	2.925051502145918
functioning	2.4195266666666666
kidney	2.095512666666667
are	3.1212111111111134
pathognomonic	3.19463
features	3.19463
aorto	3.19463
renal	2.042514166666667
vein	1.759502857142857
fistula	0.94618
,	3.100659617834381
condition	2.4869933333333334
which	3.1946299999999996
leaks	3.19463
into	3.19463
an	3.0469791666666683
anomalous	3.19463
retro	3.19463
acanthosis	0.71656
nigricans	0.71656
is	3.1946299999999983
thickened	0.71656
velvety	0.71656
hyperpigmented	0.67886
skin	1.3398899999999998
variety	3.19463
endocrine	1.31757
disorders	2.798168
malignancies	1.5924875000000003
medications	3.19463
mechanical	3.19463
stability	3.19463
internal	3.19463
fixation	3.19463
fractured	0.64135
phalanges	0.64135
rigidity	1.07172
five	3.19463
techniques	3.19463
tested	3.19463
experimentally	3.19463
compared	3.19463
clinical	3.194630000000001
relevance	3.19463
discussed	3.19463
cell	3.005838571428573
carcinoma	1.9268337500000001
concurrent	3.19463
urothelial	1.21232
urinary	1.5495375
bladder	1.375402
hodgkin	3.19463
lymphoma	2.5338600000000002
we	3.1946300000000005
report	3.19463
case	3.1946300000000005
71	3.19463
year	3.19463
old	3.19463
male	2.4352828571428575
multiple	3.19463
primary	2.9109322222222223
involving	3.19463
combined	2.0134233333333333
synchronous	0.65698
was	2.973153750000001
admitted	3.19463
to	3.0028034444444414
hospital	3.19463
because	3.19463
painless	0.9815
gross	0.9815
hematuria	3.19463
examination	3.19463
revealed	3.19463
tumor	0.9982150000000001
right	1.7934075
papillary	0.67886
enlarged	3.19463
lymph	3.19463
nodes	3.19463
along	1.42282
aorta	1.1018275
inferior	2.0134233333333333
vena	2.0134233333333333
cava	1.42282
transurethral	1.04052
resection	1.04052
(	3.039766060606059
tur	3.19463
)	3.039766060606059
radical	3.19463
nephrectomy	3.19463
retroperitoneal	3.19463
lymphadenectomy	3.19463
were	3.1491989743589768
performed	3.19463
pathohistologic	3.19463
evaluation	3.19463
together	3.19463
immunohistochemistry	3.19463
gave	3.19463
final	3.19463
diagnosis	3.19463
rcc	1.21232
b	2.6040266666666665
small	3.19463
cll	3.19463
scanning	3.19463
electron	3.19463
microscopy	3.19463
human	3.19463
zonule	3.19463
lens	3.19463
zonula	3.19463
ciliaris	3.19463
present	3.19463
study	3.19463
eight	3.19463
eyeballs	3.19463
specifically	3.19463
prepared	3.19463
for	3.19463
microscopic	3.19463
observation	3.19463
consisted	3.19463
two	3.19463
main	3.19463
layers	3.19463
radial	3.19463
fibres	3.19463
anterior	3.19463
posterior	3.033556363636364
