haematuria,3.36684
and,3.36684
abdominal,1.31251
aortic,1.31251
aneurysm,1.31251
.,3.36684
left,0.75484
loin,1.18393
pain,3.36684
in,3.36684
a,3.36684
patient,3.36684
with,3.36684
associated,3.36684
the,3.36684
radiological,3.36684
finding,3.36684
of,3.36684
poorly,0.95587
or,0.95587
non,0.95587
-,0.95587
functioning,0.95587
kidney,0.95587
are,3.36684
pathognomonic,3.36684
features,3.36684
aorto,3.36684
renal,3.36684
vein,3.36684
fistula,0.69140
,,3.36684
condition,3.36684
which,3.36684
leaks,3.36684
into,3.36684
an,3.36684
anomalous,3.36684
retro,3.36684
acanthosis,0.81198
nigricans,0.81198
is,3.36684
thickened,0.81198
velvety,0.81198
hyperpigmented,0.71508
skin,0.71508
variety,3.36684
endocrine,1.31251
disorders,1.31251
malignancies,1.31251
medications,3.36684
mechanical,3.36684
stability,3.36684
internal,3.36684
fixation,3.36684
fractured,0.69140
phalanges,0.69140
rigidity,1.18393
five,3.36684
techniques,3.36684
tested,3.36684
experimentally,3.36684
compared,3.36684
clinical,3.36684
relevance,3.36684
discussed,3.36684
cell,1.31251
carcinoma,1.31251
concurrent,3.36684
urothelial,1.31251
urinary,1.10350
bladder,1.10350
hodgkin,3.36684
lymphoma,3.36684
we,3.36684
report,3.36684
case,3.36684
71,3.36684
year,3.36684
old,3.36684
male,3.36684
multiple,3.36684
primary,3.36684
involving,3.36684
combined,3.36684
synchronous,0.72364
was,3.36684
admitted,3.36684
to,3.36684
hospital,3.36684
because,3.36684
painless,1.10350
gross,1.10350
hematuria,3.36684
examination,3.36684
revealed,3.36684
tumor,1.59349
right,0.68471
papillary,0.71508
enlarged,3.36684
lymph,3.36684
nodes,3.36684
along,1.59349
aorta,1.59349
inferior,1.59349
vena,1.59349
cava,1.59349
transurethral,1.07648
resection,1.07648
(,3.36684
tur,3.36684
),3.36684
radical,3.36684
nephrectomy,3.36684
retroperitoneal,3.36684
lymphadenectomy,3.36684
were,3.36684
performed,3.36684
pathohistologic,3.36684
evaluation,3.36684
together,3.36684
immunohistochemistry,3.36684
gave,3.36684
final,3.36684
diagnosis,3.36684
rcc,1.31251
b,3.36684
small,3.36684
cll,3.36684
scanning,3.36684
electron,3.36684
microscopy,3.36684
human,3.36684
zonule,3.36684
lens,3.36684
zonula,3.36684
ciliaris,3.36684
present,3.36684
study,3.36684
eight,3.36684
eyeballs,3.36684
specifically,3.36684
prepared,3.36684
for,3.36684
microscopic,3.36684
observation,3.36684
consisted,3.36684
