haematuria,0.74311
and,3.13335
abdominal,3.13335
aortic,3.13335
aneurysm,3.13335
.,3.13335
left,3.13335
loin,3.13335
pain,1.12605
in,3.13335
a,3.13335
patient,3.13335
with,3.13335
associated,3.13335
the,3.13335
radiological,3.13335
finding,3.13335
of,3.13335
poorly,3.13335
or,3.13335
non,3.13335
-,3.13335
functioning,3.13335
kidney,3.13335
are,3.13335
pathognomonic,3.13335
features,3.13335
aorto,1.14864
renal,1.14864
vein,1.14864
fistula,1.14864
,,3.13335
condition,3.13335
which,3.13335
leaks,3.13335
into,3.13335
an,3.13335
anomalous,1.30618
retro,1.30618
acanthosis,3.13335
nigricans,3.13335
is,3.13335
thickened,3.13335
velvety,3.13335
hyperpigmented,3.13335
skin,3.13335
variety,3.13335
endocrine,0.68676
disorders,0.68676
malignancies,0.68676
medications,3.13335
mechanical,3.13335
stability,3.13335
internal,3.13335
fixation,3.13335
fractured,0.68676
phalanges,0.68676
rigidity,3.13335
five,3.13335
techniques,3.13335
tested,3.13335
experimentally,3.13335
compared,3.13335
clinical,3.13335
relevance,3.13335
discussed,3.13335
cell,3.13335
carcinoma,3.13335
concurrent,3.13335
urothelial,3.13335
urinary,0.70961
bladder,0.70961
hodgkin,3.13335
lymphoma,3.13335
we,3.13335
report,3.13335
case,3.13335
71,3.13335
year,3.13335
old,3.13335
male,3.13335
multiple,3.13335
primary,3.13335
involving,1.30618
combined,3.13335
synchronous,0.68757
was,3.13335
admitted,3.13335
to,3.13335
hospital,3.13335
because,3.13335
painless,3.13335
gross,3.13335
hematuria,0.70853
examination,3.13335
revealed,3.13335
tumor,3.13335
right,0.75321
papillary,1.12605
enlarged,3.13335
lymph,3.13335
nodes,3.13335
along,3.13335
aorta,3.13335
inferior,3.13335
vena,3.13335
cava,3.13335
transurethral,1.14542
resection,1.14542
(,3.13335
tur,3.13335
),3.13335
radical,3.13335
nephrectomy,3.13335
retroperitoneal,3.13335
lymphadenectomy,3.13335
were,3.13335
performed,3.13335
pathohistologic,3.13335
evaluation,3.13335
together,3.13335
immunohistochemistry,3.13335
gave,3.13335
final,3.13335
diagnosis,3.13335
rcc,3.13335
b,3.13335
small,3.13335
cll,3.13335
scanning,3.13335
electron,3.13335
microscopy,3.13335
human,3.13335
zonule,3.13335
lens,3.13335
zonula,3.13335
ciliaris,3.13335
present,3.13335
study,3.13335
eight,3.13335
eyeballs,3.13335
specifically,3.13335
prepared,3.13335
for,3.13335
microscopic,3.13335
observation,3.13335
consisted,3.13335
two,3.13335
main,3.13335
layers,3.13335
radial,3.13335
fibres,3.13335
anterior,3.13335
posterior,3.13335
one,3.13335
that,3.13335
inserted,3.13335
on,3.13335
capsules,3.13335
respectively,3.13335
some,3.13335
equator,3.13335
zonular,3.13335
originated,3.13335
at,3.13335
pars,3.13335
plana,3.13335
entered,3.13335
dorsal,3.13335
part,3.13335
ciliary,3.13335
valleys,3.13335
then,3.13335
changed,3.13335
their,3.13335
direction,3.13335
towards,3.13335
face,3.13335
capsule,3.13335
by,3.13335
branched,3.13335
endings,3.13335
1,3.13335
mm,3.13335
behind,3.13335
mainly,3.13335
occasionally,3.13335
after,3.13335
running,3.13335
completely,3.13335
through,3.13335
close,3.13335
contact,3.13335
lateral,3.13335
walls,3.13335
processes,3.13335
they,3.13335
plicata,3.13335
reached,3.13335
insertions,3.13335
achieved,3.13335
webbed,3.13335
diffused,3.13335
2,3.13335
front,3.13335
extraordinary,3.13335
distension,3.13335
capacity,3.13335
demonstrated,3.13335
pulling,3.13335
hydrodissection,3.13335
as,3.13335
consequence,3.13335
stretched,3.13335
up,3.13335
four,3.13335
times,3.13335
original,3.13335
length,3.13335
without,3.13335
breaking,3.13335
disinserting,3.13335
sonographic,3.13335
pseudokidney,3.13335
when,3.13335
interpreting,3.13335
